output_all
determine	why	No	But backup power facilities at a Nasdaq computer facility in Trumbull , Conn. , did not take over computer operations , a Nasdaq spokesman acknowledged , and technicians were trying to determine why .	Treebanks/NYT-Parsed/nyt_eng_199408.tgrep2 3060
know	how	Neg	But in an area that is poor and black , where the glistening new South of corporate relocations and shopping malls seems as distant as Jupiter , people just do n't know how .	Treebanks/NYT-Parsed/nyt_eng_199408.tgrep2 3692
determine	how much	No	Botanical Garden officials project that the mandatory entrance fees will generate $ 363,000 in the next year , a 46 percent increase over the $ 247,000 raised last year when patrons had to give something but were allowed to determine how much .	Treebanks/NYT-Parsed/nyt_eng_199408.tgrep2 4831
remember	where	Neg	She did see an article about her mother the other day -- she could n't remember where -- in which she herself was mentioned .	Treebanks/NYT-Parsed/nyt_eng_199408.tgrep2 6750
say	just how much	Neg	A major part of the increase in coverage , though Mitchell 's aides could not say just how much , would come from a provision providing insurance for children and pregnant women .	Treebanks/NYT-Parsed/nyt_eng_199408.tgrep2 8773
say	just how much	Neg	A major part of the increase in coverage , though Mitchell 's aides could not say just how much , would come from a provision providing insurance for children and pregnant women .	Treebanks/NYT-Parsed/nyt_eng_199408.tgrep2 9578
clear	just what	Neg	The general rationale for the interrogations was a suspicion that somebody in the executive branch was guilty of something , although it was n't clear just what .	Treebanks/NYT-Parsed/nyt_eng_199408.tgrep2 17077
understand	why	No	It was easy to understand why : 6 feet 6 inches and 260 pounds of solid muscle , fast for his size with great hands .	Treebanks/NYT-Parsed/nyt_eng_199408.tgrep2 18931
know	when	Neg	We just do n't know when . ''	Treebanks/NYT-Parsed/nyt_eng_199408.tgrep2 18962
know	how	Neg	`` I do n't know how , '' said Mrs. Kitayeva , `` but we want to bring Lydia home , in any condition .	Treebanks/NYT-Parsed/nyt_eng_199408.tgrep2 27925
know	which half	Neg	Marketers have complained for years that half of every advertising dollar spent is wasted -- they just do n't know which half .	Treebanks/NYT-Parsed/nyt_eng_199408.tgrep2 38249
say	how much	Neg	Hanson pays those who pose for him , but he wo n't say how much .	Treebanks/NYT-Parsed/nyt_eng_199408.tgrep2 38811
see	why	No	It 's easy to see why .	Treebanks/NYT-Parsed/nyt_eng_199408.tgrep2 50746
know	why	No	One of the things I realized was that people could n't localize sounds underwater , and I wanted to know why .	Treebanks/NYT-Parsed/nyt_eng_199408.tgrep2 55511
know	why	Neg	I do n't know why .	Treebanks/NYT-Parsed/nyt_eng_199408.tgrep2 59343
say	how	No	But others cautioned that it was too early to say how , or whether , Kim Jong Il is departing from the policies of his father , who had set in motion the negotiations that led to Saturday 's agreement .	Treebanks/NYT-Parsed/nyt_eng_199408.tgrep2 60780
know	why	Neg	I do n't know why .	Treebanks/NYT-Parsed/nyt_eng_199408.tgrep2 61474
understand	why	Neg	I sat there in tears saying , ` I do n't understand why .	Treebanks/NYT-Parsed/nyt_eng_199408.tgrep2 67716
understand	why	Neg	I sat there in tears saying , ` I do n't understand why .	Treebanks/NYT-Parsed/nyt_eng_199408.tgrep2 68133
explain	why not	Neg	`` No , '' the witness replied , though he did not explain why not .	Treebanks/NYT-Parsed/nyt_eng_199408.tgrep2 70103
explain	why	No	Some day , he muses , he hopes he can explain why , but in the meantime , at least he 's lost his fear of death .	Treebanks/NYT-Parsed/nyt_eng_199408.tgrep2 70903
imagine	why	Neg	Ca n't imagine why .	Treebanks/NYT-Parsed/nyt_eng_199408.tgrep2 72098
say	precisely why	Neg	The Ford Foundation , a longtime contributor , has not released a $ 250,000 grant to the organization , but foundation officials will not say precisely why .	Treebanks/NYT-Parsed/nyt_eng_199408.tgrep2 73151
know	why not	Neg	I do n't know why not . ''	Treebanks/NYT-Parsed/nyt_eng_199408.tgrep2 75450
check	why	No	Let me check why .	Treebanks/NYT-Parsed/nyt_eng_199408.tgrep2 82674
know	what else	No	`` I 've got the bed , a dresser , pots and pans , a television set and you know what else ?	Treebanks/NYT-Parsed/nyt_eng_199408.tgrep2 89956
see	why	No	It 's easy to see why : The house is on Worman Road , a picturesque gravel road , and is surrounded by more expensive properties .	Treebanks/NYT-Parsed/nyt_eng_199408.tgrep2 93783
say	how many	Neg	For one thing , Levi is selling only a limited quantity -LRB- it will not say how many -RRB- .	Treebanks/NYT-Parsed/nyt_eng_199408.tgrep2 95952
tell	why	No	`` He told us it 's not enough to say we 're a wonderful company , '' Hinse added , `` but to also tell why . ''	Treebanks/NYT-Parsed/nyt_eng_199408.tgrep2 96534
say	how many	Neg	For one thing , Levi is selling only a limited quantity -LRB- it will not say how many -RRB- .	Treebanks/NYT-Parsed/nyt_eng_199408.tgrep2 97108
guess	what	No	Its present brochure is -- guess what ?	Treebanks/NYT-Parsed/nyt_eng_199408.tgrep2 102374
know	how much	Neg	Reid added , `` He 's got some wiggle room , but I do n't know how much . ''	Treebanks/NYT-Parsed/nyt_eng_199408.tgrep2 104816
see	why	No	It 's easy to see why .	Treebanks/NYT-Parsed/nyt_eng_199408.tgrep2 108529
know	why	Neg	`` They seem to think I 'm good , and the books that I record sell very , very well , but I do n't know why .	Treebanks/NYT-Parsed/nyt_eng_199408.tgrep2 109225
know	how long	Neg	`` They have n't had a winning season in I do n't know how long .	Treebanks/NYT-Parsed/nyt_eng_199408.tgrep2 109421
know	when	Neg	I just did n't know when . ''	Treebanks/NYT-Parsed/nyt_eng_199408.tgrep2 112573
say	what	Neg	I end up peddling ... I 'd rather not say what . ''	Treebanks/NYT-Parsed/nyt_eng_199408.tgrep2 113298
know	why	No	`` We do n't want to know why , because each person has different reasons , '' said Johann George , a partner in the venture .	Treebanks/NYT-Parsed/nyt_eng_199408.tgrep2 113545
know	whom	Neg	It was at Riverside Elementary School -LRB- the `` colored '' one -RRB- in Fort Worth and my sixth-grade classmates did not know whom or what I was talking about when I arrived one morning after the Christmas vacation excitedly announcing that Fidel Castro had done it .	Treebanks/NYT-Parsed/nyt_eng_199408.tgrep2 113751
know	why	Neg	I do n't know why .	Treebanks/NYT-Parsed/nyt_eng_199408.tgrep2 118311
see	just how close	No	The pros will have to wait another year to see just how close .	Treebanks/NYT-Parsed/nyt_eng_199408.tgrep2 123890
ask	how much	No	It 's one of those things in life -- if you have to ask how much , you ca n't afford it . ''	Treebanks/NYT-Parsed/nyt_eng_199408.tgrep2 128601
understand	why	No	`` At the time -LRB- '91 -RRB- , Ronnie and I did n't respect those decisions , but now that we 're gone we can see how things change and understand why .	Treebanks/NYT-Parsed/nyt_eng_199408.tgrep2 133748
remember	which	Neg	In 1983 , Silver recalls , when he was working on `` Streets of Fire '' with Walter Hill , a co-executive producer of the HBO series , `` we were talking about some episodic movie that had come out -- ` Twilight Zone ' or ` Creepshow , ' I do n't remember which .	Treebanks/NYT-Parsed/nyt_eng_199408.tgrep2 136962
bloom	when	No	Are these film makers crisscrossing the globe so many times they 've lost their own sense of what plants grow where -- and which ones bloom when ?	Treebanks/NYT-Parsed/nyt_eng_199408.tgrep2 137038
know	why	Neg	`` I do n't know why , but I am worried , '' Mitchell said .	Treebanks/NYT-Parsed/nyt_eng_199408.tgrep2 139756
show	how	No	While this certainly does n't signal the end of fishing in the kelp beds of San Simeon Harbor or over the forest of pinnacles that rise from the ocean floor offshore , it does mean that Valenzuela wo n't be around to show you how .	Treebanks/NYT-Parsed/nyt_eng_199408.tgrep2 145230
show	how	No	While this certainly does n't signal the end of fishing in the kelp beds of San Simeon Harbor or over the forest of pinnacles that rise from the ocean floor offshore , it does mean that Valenzuela wo n't be around to show you how .	Treebanks/NYT-Parsed/nyt_eng_199408.tgrep2 145290
show	how	No	While this certainly does n't signal the end of fishing in the kelp beds of San Simeon Harbor or over the forest of pinnacles that rise from the ocean floor offshore , it does mean that Valenzuela wo n't be around to show you how .	Treebanks/NYT-Parsed/nyt_eng_199408.tgrep2 145453
show	how	No	While this certainly does n't signal the end of fishing in the kelp beds of San Simeon Harbor or over the forest of pinnacles that rise from the ocean floor offshore , it does mean that Valenzuela wo n't be around to show you how .	Treebanks/NYT-Parsed/nyt_eng_199408.tgrep2 145513
fathom	why	Neg	I could n't fathom why .	Treebanks/NYT-Parsed/nyt_eng_199409.tgrep2 601
appreciate	why	No	`` You may appreciate why . ''	Treebanks/NYT-Parsed/nyt_eng_199409.tgrep2 3139
wonder	why	No	`` When people refuse , you wonder why . ''	Treebanks/NYT-Parsed/nyt_eng_199409.tgrep2 3326
matter	where	Neg	`` Particularly when Jim , Pete , Andre and I play , it does n't matter where , what surface , '' he said of Sampras , Agassi and Jim Courier .	Treebanks/NYT-Parsed/nyt_eng_199409.tgrep2 12373
say	why	No	`` But in my formative years , I heard Robert Kennedy say : ` Some men see things as they are and say why .	Treebanks/NYT-Parsed/nyt_eng_199409.tgrep2 13944
say	why not	No	I see things as they could be and say why not . '' '	Treebanks/NYT-Parsed/nyt_eng_199409.tgrep2 13945
say	why	No	`` But in my formative years , I heard Robert Kennedy say : ` Some men see things as they are and say why .	Treebanks/NYT-Parsed/nyt_eng_199409.tgrep2 16050
say	why not	No	I see things as they could be and say why not . '' '	Treebanks/NYT-Parsed/nyt_eng_199409.tgrep2 16051
know	why	Neg	I do n't know why , '' he said .	Treebanks/NYT-Parsed/nyt_eng_199409.tgrep2 20687
understand	how much	No	Whatever the secret , it helped the Jets , although the offense did not really understand how much until after the game .	Treebanks/NYT-Parsed/nyt_eng_199409.tgrep2 21659
know	why	Neg	`` I do n't know why , but that 's the level we 're dealing with in sports right now . ''	Treebanks/NYT-Parsed/nyt_eng_199409.tgrep2 24356
know	why	Neg	I do n't know why .	Treebanks/NYT-Parsed/nyt_eng_199409.tgrep2 27166
ask	why	Neg	For some reason -- do n't ask me why -- I found myself remembering ol ' Sam Poe , county commissioner in the early 1960s .	Treebanks/NYT-Parsed/nyt_eng_199409.tgrep2 30343
know	why	Neg	`` For some reason , I do n't know why , -LRB- gangsta rap -RRB- makes everybody want to live the gangsta life , '' he said .	Treebanks/NYT-Parsed/nyt_eng_199409.tgrep2 30588
know	at what rate	Neg	`` Most people believe that the computer industry will prosper , but they do n't know at what rate , '' said a publishing industry executive who is familiar with the Ziff 's properties .	Treebanks/NYT-Parsed/nyt_eng_199409.tgrep2 32860
know	what	Neg	`` I do n't know what .	Treebanks/NYT-Parsed/nyt_eng_199409.tgrep2 33220
understand	why	No	Clinton and his team seemingly have been unable to understand why , if the economy is going so well , that the Big Guy registers such miserable poll numbers .	Treebanks/NYT-Parsed/nyt_eng_199409.tgrep2 37253
know	how soon	Neg	They may be resolved much earlier than that , but Holtz does not know how soon .	Treebanks/NYT-Parsed/nyt_eng_199409.tgrep2 37580
matter	how	Neg	`` It does n't matter how . ''	Treebanks/NYT-Parsed/nyt_eng_199409.tgrep2 39207
matter	why	Neg	But halfway through his term he 's still talking nonsense , and I suppose it does n't matter why .	Treebanks/NYT-Parsed/nyt_eng_199409.tgrep2 48352
know	why	Neg	I did n't know why , but I knew that was my way .	Treebanks/NYT-Parsed/nyt_eng_199409.tgrep2 48814
understand	why	No	If you 've spoken to Confederation investors , you can understand why .	Treebanks/NYT-Parsed/nyt_eng_199409.tgrep2 53980
know	how far from the White House	Neg	Maynes said tapes of air traffic radar showed that it had detected the flight , but he did not know how far from the White House or how long before the crash .	Treebanks/NYT-Parsed/nyt_eng_199409.tgrep2 56026
see	why	No	To say that officials in New York City and New York state are delighted with the crime bill is an understatement , and it is not hard to see why .	Treebanks/NYT-Parsed/nyt_eng_199409.tgrep2 56333
see	why	No	To see why , look at the example of the Pittsburgh Pirates , who won three straight divisional titles -LRB- 1990-92 -RRB- before the loss of free agents broke up the team .	Treebanks/NYT-Parsed/nyt_eng_199409.tgrep2 56771
say	precisely when	Neg	Two ships carrying several hundred fuel rods are already at sea , due to land within days at the Sunny Point Military Terminal in Wilmington , N.C. ; officials will not say precisely when because of the nature of the cargo .	Treebanks/NYT-Parsed/nyt_eng_199409.tgrep2 61688
figure	why	No	`` As I laid there , I was trying to figure out why , why I was being shot again on the ground .	Treebanks/NYT-Parsed/nyt_eng_199409.tgrep2 63076
know	why	Neg	`` I do n't know why , at my age , but I do .	Treebanks/NYT-Parsed/nyt_eng_199409.tgrep2 66465
clear	why	Neg	Stephanie Pinder of Grosvenor Neighborhood House in upper Manhattan , which provides tutoring , counseling and recreational programs to teen-agers , said she was left asking herself : `` All of a sudden you 're not funded and you 're not clear on why .	Treebanks/NYT-Parsed/nyt_eng_199409.tgrep2 72857
specify	how	Neg	The court gave the state three more years to correct the problem , but it did not specify how .	Treebanks/NYT-Parsed/nyt_eng_199409.tgrep2 73009
understand	why	No	Although they agree that the spill was responsible for the Pacific herring 's and wild pink salmon 's failure to replenish , they want money from the settlement to better understand why .	Treebanks/NYT-Parsed/nyt_eng_199409.tgrep2 86524
see	why	No	You 'll see why . '' '	Treebanks/NYT-Parsed/nyt_eng_199409.tgrep2 87615
hear	why	No	`` Philip Morris has never said why it decided not to split up the company , and we 'd like to hear why . ''	Treebanks/NYT-Parsed/nyt_eng_199409.tgrep2 88751
know	why	Neg	But I do n't know why .	Treebanks/NYT-Parsed/nyt_eng_199409.tgrep2 89726
know	why	Neg	And he insists he does n't know why .	Treebanks/NYT-Parsed/nyt_eng_199409.tgrep2 90744
guess	what	No	And guess what ?	Treebanks/NYT-Parsed/nyt_eng_199409.tgrep2 97239
know	so what	Neg	Well , I do n't know so what , but the idea that the universe is collapsing is kind of cool .	Treebanks/NYT-Parsed/nyt_eng_199409.tgrep2 102309
figure	why	No	Sometimes it 's hard to figure why . ''	Treebanks/NYT-Parsed/nyt_eng_199409.tgrep2 102660
find	why	No	It 's a comedy of errors and we 've got to find out why .	Treebanks/NYT-Parsed/nyt_eng_199409.tgrep2 109293
know	which ones	Neg	`` There are 50 companies across the country right now living on the edge of death , and my guess is that some of them -- I do n't know which ones -- will not survive , '' says Chad Waite , a partner in Seattle 's Olympic Venture Partners .	Treebanks/NYT-Parsed/nyt_eng_199409.tgrep2 112875
know	why	No	You do n't see Hillary taking that Ira Magaziner up to the Congress and asking them to do something for the fans for a change , and you know why ?	Treebanks/NYT-Parsed/nyt_eng_199409.tgrep2 113997
matter	what	No	Mitchell , who gave up a chance at a seat on the Supreme Court to devote himself to the drive for health legislation and is usually a man who is carefully spoken , said flatly Monday , `` I think there is now a policy in place on the part of the Republicans of total obstruction -- that is to say , simply to block anything and everything no matter what . ''	Treebanks/NYT-Parsed/nyt_eng_199409.tgrep2 115869
see	why	No	This seems to have caught many by surprise , but it 's hard to see why .	Treebanks/NYT-Parsed/nyt_eng_199409.tgrep2 119726
know	when	Neg	`` I do n't know when , '' she said through an interpreter .	Treebanks/NYT-Parsed/nyt_eng_199409.tgrep2 121597
know	how much	Neg	`` I do n't know how much . ''	Treebanks/NYT-Parsed/nyt_eng_199409.tgrep2 121598
say	where	Neg	The Republicans would keep costs in line by finding fat in federal programs , though the contract does not say where .	Treebanks/NYT-Parsed/nyt_eng_199409.tgrep2 121887
answer	why	Neg	I ca n't answer why . ''	Treebanks/NYT-Parsed/nyt_eng_199409.tgrep2 127019
say	just how	Neg	The reporter who broadcast the revelation about Simpson 's sock , Tracie Savage of KNBC in Los Angeles , acknowledged Tuesday night that the report was partly inaccurate but did not say just how .	Treebanks/NYT-Parsed/nyt_eng_199409.tgrep2 127662
say	precisely how	Neg	The Pataki campaign said the candidate wanted to reduce the welfare and health services that the state requires local governments to provide , although they could not say precisely how .	Treebanks/NYT-Parsed/nyt_eng_199409.tgrep2 133909
ask	why	No	`` We want them to ask why .	Treebanks/NYT-Parsed/nyt_eng_199409.tgrep2 135418
guess	what	No	Bettman said he and Stern `` chat on a regular basis about a lot of things , '' but he added , `` I have a league to run and he has a league to run and guess what ?	Treebanks/NYT-Parsed/nyt_eng_199410.tgrep2 5044
remember	what	Neg	`` I did something , I do n't remember what , but he really got on my case .	Treebanks/NYT-Parsed/nyt_eng_199410.tgrep2 11594
know	what	Neg	With her it helped to play in a more -- I do n't know what -- a more pretentious voice . ''	Treebanks/NYT-Parsed/nyt_eng_199410.tgrep2 18432
say	exactly how	Neg	Geddis said the studios could control the problem , although he did not say exactly how .	Treebanks/NYT-Parsed/nyt_eng_199410.tgrep2 24065
pinpoint	how long	No	It 's difficult to pinpoint how long . ''	Treebanks/NYT-Parsed/nyt_eng_199410.tgrep2 32577
say	how	No	In both cases , according to Guidice and Colsey , the women were bound and gagged in ways that were distinctive and similar -- they declined to say how -- and in both cases the victims were robbed of credit and ATM cards and other valuables , including a piece of jewelry that was taken from Ms. Kierer and found in McFadden 's possession at the time of his arrest .	Treebanks/NYT-Parsed/nyt_eng_199410.tgrep2 32671
know	why	Neg	I do n't want to get to the point where things are happening and I do n't know why . ''	Treebanks/NYT-Parsed/nyt_eng_199410.tgrep2 37519
see	why	No	It is easy to see why : Bars and restaurants were limited to three machines , while a truck stop can have up to 50 .	Treebanks/NYT-Parsed/nyt_eng_199410.tgrep2 41502
know	how	Neg	`` I wish it could have been handled differently , but I do n't know how , '' he said .	Treebanks/NYT-Parsed/nyt_eng_199410.tgrep2 43446
spell	how	Neg	Like Pataki , Cuomo said he could cut taxes as well as pay for his crime initiatives , but he did not spell out how .	Treebanks/NYT-Parsed/nyt_eng_199410.tgrep2 54195
explain	why	No	When it 's absolutely necessary to use a speakerphone , she advises , explain why , ask the other parties to the conversation whether they mind being on the speakerphone and tell them who else is in the room .	Treebanks/NYT-Parsed/nyt_eng_199410.tgrep2 57261
know	when	Neg	He had n't bathed in I do n't know when .	Treebanks/NYT-Parsed/nyt_eng_199410.tgrep2 59828
understand	why	No	Most of the students felt disengaged and isolated from the political process , and Loeb attempts to understand why .	Treebanks/NYT-Parsed/nyt_eng_199410.tgrep2 61404
understand	why	No	It 's easy to understand why .	Treebanks/NYT-Parsed/nyt_eng_199410.tgrep2 62587
<none>	<none>	No	He once said in an interview with Reuters , presumably as a joke , `` I do n't understand all this stuff about micros and macros . ''	Treebanks/NYT-Parsed/nyt_eng_199410.tgrep2 62921
know	why	Neg	`` I do n't know why .	Treebanks/NYT-Parsed/nyt_eng_199410.tgrep2 63873
know	why	Neg	`` I do n't know why .	Treebanks/NYT-Parsed/nyt_eng_199410.tgrep2 68869
know	who	Neg	I do n't know who . ''	Treebanks/NYT-Parsed/nyt_eng_199410.tgrep2 71159
guess	what	No	But guess what ?	Treebanks/NYT-Parsed/nyt_eng_199410.tgrep2 72362
know	why	Neg	I do n't know why , necessarily , but I do think that people are wanting to see these stories . ''	Treebanks/NYT-Parsed/nyt_eng_199410.tgrep2 76730
know	why	Neg	`` I do n't know why .	Treebanks/NYT-Parsed/nyt_eng_199410.tgrep2 81656
explain	why	No	`` I think there is a really good feeling between the teams this week , '' Walker said , `` and I ca n't really explain why . ''	Treebanks/NYT-Parsed/nyt_eng_199410.tgrep2 89056
